,Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2,Station_Target
166,CSLB,sea_median,10,100,sqrt,2,5,0.1687497949633297,0.0866308119917971,0.294331126440608,0.5480190543579002,CSLB_sea_median
168,CSLB,"(38.0625, 14.041667938232422)",10,100,log2,2,1,0.1865507296280986,0.1074565408892112,0.3278056449929,0.4485992652915964,"CSLB_(38.0625, 14.041667938232422)"
169,CSLB,"(38.0625, 14.083335876464844)",10,100,log2,2,1,0.1882055181635002,0.1082658295292055,0.3290377326830549,0.4395585413738426,"CSLB_(38.0625, 14.083335876464844)"
170,CSLB,"(38.0625, 14.0)",10,100,log2,2,1,0.1847266823990851,0.1064138668760417,0.3262113837315333,0.4574227376224788,"CSLB_(38.0625, 14.0)"
171,CSLB,"(38.0625, 14.125)",10,100,log2,2,1,0.1898194713640523,0.1089510023673305,0.330077267268333,0.4304485095111831,"CSLB_(38.0625, 14.125)"
172,CSLB,"(38.020835876464844, 13.916667938232422)",10,100,log2,2,1,0.1804085432050511,0.0941872834741322,0.3068994680251699,0.4058215071674234,"CSLB_(38.020835876464844, 13.916667938232422)"
173,CSLB,sea_mean,10,100,log2,2,1,0.1854255940393015,0.1046581192284133,0.3235090713232217,0.4376877984398432,CSLB_sea_mean
174,CSLB,sea_median,10,100,log2,2,1,0.1872180440473343,0.1074304266940868,0.3277658107461588,0.4395007419239553,CSLB_sea_median
176,CSLB,"(38.0625, 14.041667938232422)",10,100,log2,2,3,0.1623112833727963,0.069497518370251,0.263623819808171,0.6433815720042906,"CSLB_(38.0625, 14.041667938232422)"
177,CSLB,"(38.0625, 14.083335876464844)",10,100,log2,2,3,0.1639376287031746,0.0704516389337324,0.2654272761675642,0.635304883744753,"CSLB_(38.0625, 14.083335876464844)"
178,CSLB,"(38.0625, 14.0)",10,100,log2,2,3,0.1605444684416758,0.0683578035470836,0.2614532530818533,0.6514609326816274,"CSLB_(38.0625, 14.0)"
